Category,Title,Kids Abstract,Abstract (Original academic paper),URL (Original academic paper),Reading Levels
Biodiversity-And-Conservation Articles,How do bees choose what to eat,"Hard working bees play a crucial role in our ecosystem, and fats. We tested three types of pollen to see if they help helping plants reproduce. They are also vital for us they bees grow. We then gave the bees a choice between the help produce a lot of our food! Bees have a special menu of three types of natural pollen and between modified pollen. their own: they eat pollen and drink nectar from flowers. We This allowed us to analyze the bees preferences and to wanted to know if honey bees can evaluate the quality of the conclude that honey bees either cant or dont evaluate the pollen to see if it has the right mixture of different proteins nutritional values of pollen.","Honey bee workers (Apis mellifera) consume a variety of pollens to meet the majority of their requirements for protein and lipids. Recent work indicates that honey bees prefer diets that reflect the proper ratio of nutrients necessary for optimal survival and homeostasis. This idea relies on the precept that honey bees evaluate the nutritional composition of the foods provided to them. While this has been shown in bumble bees, the data for honey bees are mixed. Further, there is controversy as to whether foragers can evaluate the nutritional value of pollens, especially if they do not consume it. Here, we focused on nurse workers, who eat most of the pollen coming into the hive. We tested the hypothesis that nurses prefer diets with higher nutritional value. We first determined the nutritional profile, number of plant taxa (richness), and degree of hypopharyngeal gland (HG) growth conferred by three honey bee collected pollens. We then presented nurses with these same three pollens in paired choice assays and measured consumption. To further test whether nutrition influenced preference, we also presented bees with natural pollens supplemented with protein or lipids and liquid diets with protein and lipid ratios equal to the natural pollens. Different pollens conferred different degrees of HG growth, but despite these differences, nurse bees did not always prefer the most nutritious pollens. Adding protein and/or lipids to less desirable pollens minimally increased pollen attractiveness, and nurses did not exhibit a strong preference for any of the three liquid diets. We conclude that different pollens provide different nutritional benefits, but that nurses either cannot or do not assess pollen nutritional value. This implies that the nurses may not be able to communicate information about pollen quality to the foragers, who regulate the pollens coming into the hive.",https://doi.org/10.1371/journal.pone.0191050,Lower high school
Biodiversity-And-Conservation Articles; Water-Resources Articles,How do corals spread in the deep sea,"Did you know that more people have been on the moon than We used clever genetic analysis to unlock information to the very bottom of the sea? Science is hard to do at such hidden in the corals DNA and found that this was true for depths, which is a problem for deep sea animals its hard to one species, but not for the other. We believe that ocean look after something if you dont know much about it! currents are also important in how corals disperse. This new information can help us to protect these important animals We wanted to know how seamounts (underwater mountains) (and others!) in the future. affect the populations of two species of deep sea coral. Can they act as stepping stones helping the corals to disperse (spread) throughout the sea? Hi, Im Diane (D. dianthus)!","Ecological processes in the deep sea are poorly understood due to the logistical constraints of sampling  thousands of metres below the oceans surface and remote from most land masses. Under such  circumstances, genetic data provides unparalleled insight into biological and ecological relationships.  We use microsatellite DNA to compare the population structure, reproductive mode and dispersal  capacity in two deep sea corals from seamounts in the Southern Ocean. The solitary coral Desmophyllum  dianthus has widespread dispersal consistent with its global distribution and resilience to disturbance.  In contrast, for the matrix-forming colonial coral Solenosmilia variabilis asexual reproduction is  important and the dispersal of sexually produced larvae is negligible, resulting in isolated populations.  Interestingly, despite the recognised impacts of fishing on seamount communities, genetic diversity  on fished and unfished seamounts was similar for both species, suggesting that evolutionary resilience  remains despite reductions in biomass. Our results provide empirical evidence that a group of  seamounts can function either as isolated islands or stepping stones for dispersal for different taxa.  Furthermore different strategies will be required to protect the two sympatric corals and consequently  the recently declared marine reserves in this region may function as a network for D. dianthus, but not  for S. variabilis.",https://www.nature.com/articles/srep46103,Lower high school
Biodiversity-And-Conservation Articles; Energy-And-Climate Articles; Water-Resources Articles,How do dams affect fish populations,"Hydroelectric dams look like barriers between bodies of water, where fish on one side of the dam live and breed without interacting with fish on the other side. We wanted to know how a Winnipeg River dam, the Slave Falls Generating Station (GS), had actually impacted a long-lived fish, the Lake Sturgeon (Acipenser fulvescens). Do the sturgeon upstream and downstream of the dam live and interact differently since the dam was built? We caught fish and analyzed their size and genetics on both sides of the dam and compared our results to a computer simulation that modeled fish population genetics. We found that the Slave Falls GS is not that different than the waterfall that existed nearby in the recent past, in terms of preventing Lake Sturgeon from swimming upstream and mating with the fish that live in that area.","Many hydroelectric dams have been in place for 50 - >100 years, which for most fish species means that enough generations have passed for fragmentation induced divergence to have accumulated. However, for long-lived species such as Lake Sturgeon, Acipenser fulvescens, it should be possible to discriminate between historical population structuring and contemporary gene flow and improve the broader understanding of anthropogenic influence. On the Winnipeg River, Manitoba, two hypotheses were tested: 1) Measureable quantities of former reservoir dwelling Lake Sturgeon now reside downstream of the Slave Falls Generating Station, and 2) genetically differentiated populations of Lake Sturgeon occur upstream and downstream, a result of historical structuring. Genetic methods based on ten microsatellite markers were employed, and simulations were conducted to provide context. With regards to contemporary upstream to downstream contributions, the inclusion of length-at-age data proved informative. Both pairwise relatedness and Bayesian clustering analysis substantiated that fast-growing outliers, apparently entrained after residing in the upstream reservoir for several years, accounted for ~15% of the Lake Sturgeon 525750 mm fork length captured downstream. With regards to historical structuring, upstream and downstream populations were found to be differentiated (FST = 0.011, and 0.0130.014 when fast-growing outliers were excluded), and heterozygosity metrics were higher for downstream versus upstream juveniles. Historical asymmetric (downstream) gene flow in the vicinity of the generating station was the most logical explanation for the observed genetic structuring. In this section of the Winnipeg River, construction of a major dam does not appear to have fragmented a previously panmictic Lake Sturgeon population, but alterations to habitat may be influencing upstream to downstream contributions in unexpected ways.",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0174269,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Water-Resources Articles,How do deep-sea hot spring ecosystems work,"We have all heard that living creatures need the sun to survive, either directly through photosynthesis or by consuming biomass produced by photosynthesis. But is this really true for all of them? Some organisms survive in the deep sea  where there is no sunlight  using energy from our planet instead of our sun in a process known as chemosynthesis. We wanted to know more about these microorganisms, especially the ones that live below the sea floor at deep-sea hot springs. So we examined fluids from a hot spring in the Pacific at in situ pressure and temperature and measured their productivity and rates of metabolism. Our study showed that sub-seafloor microorganisms were highly productive and fast-growing. Our estimates allow us to assess the importance of hot springs for global cycles of essential elements, such as carbon and nitrogen.","The existence of a chemosynthetic subseafloor biosphere was immediately recognized when deep-sea hot springs were discovered in 1977. However, quantifying how much new carbon is fixed in this environment has remained elusive. In this study, we incubated natural subseafloor communities under in situ pressure/temperature and measured their chemosynthetic growth efficiency and metabolic rates. Combining these data with fluid flux and in situ chemical measurements, we derived empirical constraints on chemosynthetic activity in the natural environment. Our study shows subseafloor microorganisms are highly productive (up to 1.4 Tg C produced yearly), fast-growing (turning over every 1741 hours), and physiologically diverse. These estimates place deep-sea hot springs in a quantitative framework and allow us to assess their importance for global biogeochemical cycles.",http://www.pnas.org/content/115/26/6756,Upper high school
Biodiversity-And-Conservation Articles,How do dogs make trouble for wildlife in the Andes,"What do pets and wild animals have in common? Some pets  like dogs, for instance  can easily turn back into wild animals when abandoned or let loose. This is especially true for places where people lack resources or education to properly take care of their pets. Right now, we have over 1 billion feral (wild) dogs roaming our planet, often in packs. These dogs are probably impacting native wildlife. We wanted to know whether dogs were a problem for eight naturally occurring carnivores in the Andean mountains in Ecuador. We set up over 500 camera traps with motion sensors to document whether there are fewer carnivores in areas where dogs are present. We found that roaming dogs did indeed have a negative impact on four of the native carnivores we studied.","Although the Andes have long been occupied by people, habitat loss, fragmentation through deforestation, and other human activities such as introduction of invasive species have increased drastically during the past century. The Ecuadorian Andes are considered a biodiversity hotspot. However, the fauna and threats to the region are poorly studied, and understanding of factors that shape the distribution of species in habitats disturbed by human activities is needed to identify and mitigate region-wide threats to wildlife. We evaluated factors associated with patterns of occurrence of Andean carnivores in landscapes of the northern Ecuadorian Andes, particularly habitat loss, fragmentation, and occupancy of domestic dogs, and determined whether thresholds occurred for these factors beyond which carnivore occurrence declined markedly. Five study areas (each 20 x 20 km) were surveyed with a total effort of 2,800 camera trap nights. Occupancies of four of the eight carnivores known from the region were best predicted by occupancy of domestic dogs rather than measures of habitat loss and fragmentation [Andean fox (Pseudalopex culpaeus), puma (Puma concolor), striped hog-nosed skunk (Conepatus semistriatus), and Andean bear (Tremarctos ornatus)]. The two largest carnivores, puma and Andean bear, demonstrated significant threshold responses to the presence of domestic dogs at two sites. Four smaller carnivores were recorded too infrequently to model occupancy, and at least two of these species appear to be in decline. The magnitude of domestic dog impacts on native species in tropical areas like the Ecuadorian Andes currently are not recognized. Results of our study indicate that small and large carnivores are in urgent need of conservation and clearly point to dogs as a significant threat to a broad range of native species.",https://doi.org/10.1371/journal.pone.0192346,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Pollution Articles,How do nutrients change flowering in prairies,"Farmers today apply more synthetic fertilizers to farm fields Do they all just grow better? Or could there be any negative than ever before but not all of these nutrients are used by side effects? To answer these questions, we systematically crops: some fertilizer escapes through the air, soil, or water. added nutrients to experimental patches of prairie. We Nitrogen, phosphorous, and potassium flow off farm fields found that these added nutrients (specifically nitrogen) when it rains, billow into the air when fields are plowed, and made early-season plants thrive while reducing the amount drift with the wind to other areas. Extra nutrients are also of late-season plants, but only in some prairie types. This released to the air when people burn fossil fuels. We wanted change could have serious implications for the way prairie to find out: what happens when these extra nutrients land ecosystems function. on wild prairie ecosystems? How do its wild plants respond?","The distribution of flowering across the growing season is governed by each species evolutionary history and climatic variability. However, global change factors, such as eutrophication and invasion, can alter plant community composition and thus change the distribution of flowering across the growing season. We examined three ecoregions (tall-, mixed, and short-grass prairie) across the U.S. Central Plains to determine how nutrient (nitrogen (N), phosphorus, and potassium (+micronutrient)) addition alters the temporal patterns of plant flowering traits. We calculated total community flowering potential (FP) by distributing peak-season plant cover values across the growing season, allocating each species cover to only those months in which it typically flowers. We also generated separate FP profiles for exotic and native species and functional group. We compared the ability of the added nutrients to shift the distribution of these FP profiles (total and sub-groups) across the growing season. In all ecoregions, N increased the relative cover of both exotic species and C3 graminoids that flower in May through August. The cover of C4 graminoids decreased with added N, but the response varied by ecoregion and month. However, these functional changes only aggregated to shift the entire communitys FP profile in the tall-grass prairie, where the relative cover of plants expected to flower in May and June increased and those that flower in September and October decreased with added N. The relatively low native cover in May and June may leave this ecoregion vulnerable to disturbance-induced invasion by exotic species that occupy this temporal niche. There was no change in the FP profile of the mixed and short-grass prairies with N addition as increased abundance of exotic species and C3 graminoids replaced other species that flower at the same time. In these communities a disturbance other than nutrient addition may be required to disrupt phenological patterns.",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0178440,Lower high school; Upper high school
Biodiversity-And-Conservation Articles; Pollution Articles; Water-Resources Articles,How do oil spills impact fiddler crabs,"Crude oil which is used to make gasoline, fuel oils, asphalt, We analyzed data collected by five different studies over a and some plastic products can be toxic for many coastal and -year period in the Gulf of Mexico after the Deepwater Horizon marine animals and plants when spilled in the environment. oil spill. We saw that the oil spill reduced the number of fiddler Thats why oil spills in the ocean can be a problem. We wanted crabs, likely killed many of them directly, and changed the to know what impact a large spill might have on fiddler crabs. species of fiddler crabs present in the marsh for years after the These small crabs play a big role in their coastal salt marsh spill. Changes in fiddler crab populations may have affected ecosystem, so if something harms them, other parts of the other parts of the ecosystem, including marsh plant growth, ecosystem could suffer. soils, and predators of fiddler crabs.","TheDeepwater Horizonoil spill was the largest marine oil spill in US waters to date and one of the largest worldwide. Impacts of this spill on salt marsh vegetation have been well documented, although impacts on marsh macroinvertebrates have received less attention. To examine impacts of the oil spill on an important marsh invertebrate and ecosystem engineer, we conducted a meta-analysis on fiddler crabs (Ucaspp.) using published sources and newly available Natural Resources Damage Assessment (NRDA) and Gulf of Mexico Research Initiative (GoMRI) data. Fiddler crabs influence marsh ecosystem structure and function through their burrowing and feeding activities and are key prey for a number of marsh and estuarine predators. We tested the hypothesis that the spill affected fiddler crab burrow density (crab abundance), burrow diameter (crab size), and crab species composition. Averaged across multiple studies, sites, and years, our synthesis revealed a negative effect of oiling on all three metrics. Burrow densities were reduced by 39% in oiled sites, with impacts and incomplete recovery observed over 20102014. Burrow diameters were reduced from 2010 to 2011, but appeared to have recovered by 2012. Fiddler crab species composition was altered through at least 2013 and only returned to reference conditions where marsh vegetation recovered, via restoration planting in one case. Given the spatial and temporal extent of data analyzed, this synthesis provides compelling evidence that theDeepwater Horizonspill suppressed populations of fiddler crabs in oiled marshes, likely affecting other ecosystem attributes, including marsh productivity, marsh soil characteristics, and associated predators.",https://link.springer.com/article/10.1007/s12237-016-0072-6,Lower high school; Middle school
Biodiversity-And-Conservation Articles,How do our outdoor activities impact wildlife,"Do you love seeing wildlife when youre wandering around in are common, but capercaillie are on the brink of extinction in the woods? Like a majestic deer, or a beautiful bird? Well, the that area. love might not be very mutual. In fact, many animals avoid us, We found that both red deer and capercaillie avoided hiking even if we dont mean any harm. trails in our study areas. Interestingly, the extent of avoidance So, what impact do our outdoor activities have on wildlife? changed between the seasons, and, in the case of deer, even We set out to answer this question by radio tracking the between day and night! Effective natural area management whereabouts of red deer and capercaillie (also called wood plans that aim at protecting wildlife and reducing human animal grousea kind of bird) in the Black Forest in Germany. Deer conflict need to take these temporal differences into account.","The rapid spread and diversification of outdoor recreation can impact on wildlife in various ways, often leading to the avoidance of disturbed habitats. To mitigate human-wildlife conflicts, spatial zonation schemes can be implemented to separate human activities from key wildlife habitats, e.g., by designating undisturbed wildlife refuges or areas with some level of restriction to human recreation and land use. However, mitigation practice rarely considers temporal differences in human-wildlife interactions. We used GPS telemetry data from 15 red deer to study the seasonal (winter vs. summer) and diurnal (day vs. night) variation in recreation effects on habitat use in a study region in south-western Germany where a spatial zonation scheme has been established. Our study aimed to determine if recreation infrastructure and spatial zonation affected red deer habitat use and whether these effects varied daily or seasonally. Recreation infrastructure did not affect home range selection in the study area, but strongly determined habitat use within the home range. The spatial zonation scheme was reflected in both of these two levels of habitat selection, with refuges and core areas being more frequently used than the border zones. Habitat use differed significantly between day and night in both seasons. Both summer and winter recreation trails, and nearby foraging habitats, were avoided during day, whereas a positive association was found during night. We conclude that human recreation has an effect on red deer habitat use, and when designing mitigation measures daily and seasonal variation in human-wildlife interactions should be taken into account. We advocate using spatial zonation in conjunction with temporal restrictions (i.e., banning nocturnal recreation activities) and the creation of suitable foraging habitats away from recreation trails.",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0175134#pone.0175134.ref011,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Food-And-Agriculture Articles; Pollution Articles,How do pesticides get into honey,"Honey is natures sweetest gift. But did you know that honey Since , the European Union banned neonicotinoids may contain pesticides? Farmers use pesticides to kill pests in flowering crops that bees visit. We wanted to know that harm their crops. But pesticides also hurt honey bees how effective this policy was. Does UK honey still contain and other beneficial insects. Furthermore, when bees collect neonicotinoids? Here, we collected and tested honey samples nectar from flowers which received pesticide treatments, from beekeepers across the UK. We found that about a fifth these chemicals make their way into the honey. In the of all honey contained neonicotinoids. These chemicals are past, scientists found neonicotinoids (a class of pesticides) not at dangerous levels for human health but may harm the in about half of the honey samples collected in the United bees in the long run. Kingdom.","Due to concerns over negative impacts on insect pollinators, the European Union has implemented a moratorium on the use of three neonicotinoid pesticide seed dressings for mass-flowering crops. We assessed the effectiveness of this policy in reducing the exposure risk to honeybees by collecting 130 samples of honey from bee keepers across the UK before (2014: N = 21) and after the moratorium was in effect (2015: N = 109). Neonicotinoids were present in about half of the honey samples taken before the moratorium, and they were present in over a fifth of honey samples following the moratorium. Clothianidin was the most frequently detected neonicotinoid. Neonicotinoid concentrations declined from May to September in the year following the ban. However, the majority of post-moratorium neonicotinoid residues were from honey harvested early in the year, coinciding with oilseed rape flowering. Neonicotinoid concentrations were correlated with the area of oilseed rape surrounding the hive location. These results suggest mass flowering crops may contain neonicotinoid residues where they have been grown on soils contaminated by previously seed treated crops. This may include winter seed treatments applied to cereals that are currently exempt from EU restrictions. Although concentrations of neonicotinoids were low (<2.0 ng g-1), and posed no risk to human health, they may represent a continued risk to honeybees through long-term chronic exposure.",https://doi.org/10.1371/journal.pone.0189681,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Biology Articles,How do plants keep in touch,"If someone behind you tapped you on the shoulder, your first response would probably be to turn around. All living organisms respond to stimuli, and plants are no exception to this rule. Since they cannot turn around, though, how would they respond to light contact with neighboring plants? Are plants in touch with their neighbors? We searched for the answer to this question. We applied a light touch to potato plants and measured changes in their trichomes (plants hair), biomass distribution, and the volatile compounds they released. We also analyzed changes in plant structure, physiology, and interactions with insects. Our results showed that plants do respond to light touch by their neighboring plants. This affects their structure in a way that makes them shorter and stockier compared to the untouched plants. Curiously, insects do not find the smell of touched plants very attractive and prefer their untouched counterparts.","In natural habitats plants can be exposed to brief and light contact with neighbouring plants. This mechanical stimulus may represent a cue that induces responses to nearby plants. However, little is known about the effect of touching on plant growth and interaction with insect herbivores. To simulate contact between plants, a soft brush was used to apply light and brief mechanical stimuli to terminal leaves of potato Solanum tuberosum L. The number of non-glandular trichomes on the leaf surface was counted on images made by light microscope while glandular trichomes and pavement cells were counted on images made under scanning electronic microscope. Volatile compounds were identified and quantified using coupled gas chromatographymass spectrometry (GC-MS). Treated plants changed their pattern of biomass distribution; they had lower stem mass fraction and higher branch and leaf mass fraction than untouched plants. Size, weight and number of tubers were not significantly affected. Touching did not cause trichome damage nor change their total number on touched terminal leaves. However, on primary leaves the number of glandular trichomes and pavement cells was significantly increased. Touching altered the volatile emission of treated plants; they released higher quantities of the sesquiterpenes (E)--caryophyllene, germacrene D-4-ol and (E)-nerolidol, and lower quantities of the terpenes (E)-ocimene and linalool, indicating a systemic effect of the treatment. The odour of touched plants was significantly less preferred by the aphids Macrosiphum euphorbiae and Myzus persicae compared to odour of untouched plants. The results suggest that light contact may have a potential role in the detection of neighbouring plants and may affect plant-insect interactions.",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0165742,Lower high school; Middle school
Biodiversity-And-Conservation Articles,How do seabirds share,"Imagine you and your friends are working together on a project for art class. But theres a problem. You only have one pencil for each color needed to complete it. Uh-oh! Each of you wants to start with yellow, so what do you do? Argue over the yellow pencil? Or divide the pencils so one person starts with yellow, while someone else uses green, and another person starts with red? You guessed right! Arguing is not as smart as finding a way to split up the pencils. Did you know seabirds know the importance of sharing too? They live in large groups with hundreds of birds and many types of seabirds. They also have limited resources  not pencils, but their food. We wanted to know how seabirds split up their limited resources to survive together!","Sympatric species must sufficiently differentiate aspects of their ecological niche to alleviate complete interspecific competition and stably coexist within the same area. Seabirds provide a unique opportunity to understand patterns of niche segregation among coexisting species because they form large multi-species colonies of breeding aggregations with seemingly overlapping diets and foraging areas. Recent biologging tools have revealed that colonial seabirds can differentiate components of their foraging strategies. Specifically, small, diving birds with high wing-loading may have small foraging radii compared with larger or non-diving birds. In the Gulf of St-Lawrence in Canada, we investigated whether and how niche differentiation occurs in four incubating seabird species breeding sympatrically using GPS-tracking and direct field observations of prey items carried by adults to chicks: the Atlantic puffin (Fratercula arctica), razorbill (Alca torda), common murre (Uria aalge), and black-legged kittiwake (Rissa tridactyla). Although there was overlap at foraging hotspots, all species differentiated in either diet (prey species, size and number) or foraging range. Whereas puffins and razorbills consumed multiple smaller prey items that were readily available closer to the colony, murres selected larger more diverse prey that were accessible due to their deeper diving capability. Kittiwakes compensated for their surface foraging by having a large foraging range, including foraging largely at a specific distant hotspot. These foraging habitat specialisations may alleviate high interspecific competition allowing for their coexistence, providing insight on multispecies colonial living.",https://doi.org/10.1038/s41598-021-81583-z,Elementary school; Middle school
Biodiversity-And-Conservation Articles,How do woodpeckers choose where to nest,"Many human activities disturb the natural habitats of various species. This is why it is very important for wildlife managers to determine and protect high-quality habitats, which are habitats the most reproductively successful individuals choose. When it comes to breeding birds, researchers usually identify habitat by comparing the characteristics of the vegetation where pairs choose to nest to the characteristics of the other available but neglected vegetation. We suspected that this method was not reliable for identifying high-quality habitat, because it doesnt account for the preferences of early breeders, who are usually a lot more experienced and reproductively successful birds. This is why we contrasted the choices of earlier breeding yellow-bellied sapsucker pairs to those of the later ones. We then compared this method to the one usually used. We found that measuring the preferences of early breeders led to a better ability to measure the quality of the habitat.","Despite the prevalent use of nest-site selection studies to define habitat quality for birds, many studies relying on use-availability analysis have found poor correlations between selected vegetation and reproductive success. Using 3 years of data from northeastern British Columbia (20072009), we determined timing of breeding from hatching dates and contrasted the nest-site selection of earlier (n = 22) with later-nesting pairs (n = 36) of yellow-bellied sapsuckers (Sphyrapicus varius), because early breeders were expected to be more reproductively successful. We then compared these choices with those identified from use-availability analysis, and determined whether reproductive performance (fledgling production) was related to selected vegetation. None of the vegetation characteristics selected for nest sites from available vegetation predicted reproductive performance. Earlier-nesting pairs fledged more young on average than later breeders (4.41, SE = 0.18 versus 3.92, SE = 0.16), and chose less decayed aspen trees for nesting, that were surrounded on average by 3 times the number of food trees (paper birch, Betula papyrifera). Potential preference for birch trees was masked in the use-availability analysis, because the selection rate was dominated by the choices of the larger number of later-nesting pairs. Similarly, the majority (69%) of nest cavity entrances faced south, but earlier breeding pairs excavated northward-oriented cavities more frequently than did later breeding pairs, which strongly predicted their higher fledgling production. To our knowledge, our study is the first to compare the choices of early versus later breeders to test the efficacy of use-availability studies in defining habitat quality. We found that use-availability analysis was inadequate for determining vegetation characteristics related to reproductive performance. In contrast, measuring the distinct preferences of earlier breeders resulted in an improved ability to measure habitat quality and explain the spatial distribution of yellow-bellied sapsuckers, a keystone species of the mixedwood boreal forest.",https://doi.org/10.1371/journal.pone.0203683,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Energy-And-Climate Articles; Water-Resources Articles,How does climate change affect the Great Lakes,"Scientists agree that some human activities, like burning the sediments. From these samples, we could see that the fossil fuels, cause the Earths atmosphere to trap more amount of algae in Lake Superior has slowly increased over heat, leading to climate change. We wanted to find out time. However, in the past hundred years, the amount of how climate change affected large freshwater lakes, so algae and plants in the Lake has increased dramatically. we took a series of sediment cores in Lake Superior (the We think this recent drastic change happened because biggest of the Great Lakes in North America) to study human-caused climate change led to warmer temperatures samples of the mud at the lake bottom. Back in the lab, we and longer ice-free periods in the lake. This made it easier analyzed tiny bits of dead plants and algae trapped within for algae and plants to grow in the water.","Anthropogenic climate change has the potential to alter many facets of Earths freshwater resources, especially lacustrine ecosystems. The effects of anthropogenic changes in Lake Superior, which is Earths largest freshwater lake by area, are not well documented (spatially or temporally) and predicted future states in response to climate change vary. Here we show that Lake Superior experienced a slow, steady increase in production throughout the Holocene using (paleo)productivity proxies in lacustrine sediments to reconstruct past changes in primary production. Furthermore, data from the last century indicate a rapid increase in primary production, which we attribute to increasing surface water temperatures and longer seasonal stratification related to longer ice-free periods in Lake Superior due to anthropogenic climate warming. These observations demonstrate that anthropogenic effects have become a prominent influence on one of Earths largest, most pristine lacustrine ecosystems.",https://www.nature.com/articles/ncomms15713,Lower high school; Upper high school
Biodiversity-And-Conservation Articles; Energy-And-Climate Articles; Water-Resources Articles,How does climate change make fish late for dinner,"Imagine you are a young and hungry fish looking for food Now imagine someone turning up the heat (like we humans in an estuary (the part of a river where it meets the ocean). are doing by changing the climate). Could the rising water You need to grow big and strong before you migrate to the temperatures mess up the timing for you, the predator, and ocean, and depend on tiny floating creatures (plankton) your prey? To answer this question we looked at climate for food. However, the occurrence of these tiny creatures related changes in the synchronization of predator and prey in the estuary varies seasonally. Lucky for you, nature has in the biggest estuary in Western Europe. And indeed, we synchronized both your time in the estuary and that of your found signs of temporal mismatches in its aquatic food web. prey, and you survive. This synchronization depends on many We fear that the observed changes can put this important different factors, among them the temperature of the water. ecosystem and its role as a big fish nursery at risk.","Alterations of species phenology in response to climate change are now unquestionable. Until now, most studies have reported precocious occurrence of life cycle events as a major phenological response. Desynchronizations of biotic interactions, in particular predator-prey relationships, are however assumed to strongly impact ecosystems functioning, as formalized by the Match-Mismatch Hypothesis (MMH). Temporal synchronicity between juvenile fish and zooplankton in estuaries is therefore of essential interest since estuaries are major nursery grounds for many commercial fish species. The Gironde estuary (SW France) has suffered significant alterations over the last three decades, including two Abrupt Ecosystem Shifts (AES), and three contrasted intershift periods. The main objective of this study was to depict modifications in fish and zooplankton phenology among inter-shift periods and discuss the potential effects of the resulting mismatches at a community scale. A flexible Bayesian method was used to estimate and compare yearly patterns of species abundance in the estuary among the three pre-defined periods. Results highlighted (1) an earlier peak of zooplankton production and entrance of fish species in the estuary and (2) a decrease in residence time of both groups in the estuary. Such species-specific phenological changes led to changes in temporal overlap between juvenile fish and their zooplanktonic prey. This situation questions the efficiency and potentially the viability of nursery function of the Gironde estuary, with potential implications for coastal marine fisheries of the Bay of Biscay.",https://doi.org/10.1371/journal.pone.0173752,Lower high school; Upper high school
Biodiversity-And-Conservation Articles; Pollution Articles,How does reducing air pollution help birds,"When you think of pollution, what image comes to mind? Litter? Oil spills? We think of these types of pollution first because they are visible. But the most dangerous form is one that we cannot see: air pollution. We know that chemicals and small particles in the air can harm human health, so governments create laws and programs to reduce air pollution. We wanted to know if these same programs also positively affect birds. After all, birds are such an important part of our world! We built a mathematical model using bird population and air pollution data to see which air pollutants (tropospheric ozone and/or fine particulate matter) harm birds. Then we looked at how a United States air pollution reduction program affected the bird populations. From this analysis, we found that air pollution programs not only benefit humans, but they also protect birds.","Massive wildlife losses over the past 50 y have brought new urgency to identifying both the drivers of population decline and potential solutions. We provide large-scale evidence that air pollution, specifically ozone, is associated with declines in bird abundance in the United States. We show that an air pollution regulation limiting ozone precursors emissions has delivered substantial benefits to bird conservation. Our estimates imply that air quality improvements over the past 4 decades have stemmed the decline in bird populations, averting the loss of 1.5 billion birds, ?20% of current totals. Our results highlight that in addition to protecting human health, air pollution regulations have previously unrecognized and unquantified conservation cobenefits.",https://www.pnas.org/content/117/49/30900,Lower high school; Middle school
Biodiversity-And-Conservation Articles; Social-Science Articles,How does rock climbing impact birds,"Do you enjoy exploring the great outdoors? Hiking and different directions (north, east, west, and south). Half of the camping are great ways to connect with nature. Lately, cliffs are visited by lots of climbers and half by very few or another outdoor activity, rock climbing, has become very no climbers. We compared the number and species of birds popular. As a result, the number of people using cliffs on these different cliffs. We found that east-facing cliffs have has increased rapidly. Cliff ecosystems are home to many the greatest number and diversity of birds. Our results show living things, including birds. Since climbing is a fairly new that north-facing cliffs are the best option for new climbing activity, we dont know its impact on cliff ecosystems. Here, routes when it comes to protecting wildlife. Our solution may we studied how climbers affect birds that nest on cliffs in help the area to handle the growing number of climbers The Flatirons area in Colorado. We selected cliffs that face while protecting cliff ecosystems.","As the sport of outdoor rock climbing rapidly grows, there is increasing pressure to understand how it can affect communities of organisms in cliff habitats. To that end, we surveyed 32 cliff sites in Boulder, Colorado, USA, and assessed the relative roles of human recreation and natural habitat features as drivers of bird diversity and activity. We detected only native avian species during our observations. Whereas avian abundance was not affected by climbing, avian species diversity and community conservation value were higher at low-use climbing formations. Models indicated that climber presence and cliff aspect were important predictors of both avian diversity and avian cliff use within our study area, while long-term climbing use frequency has a smaller, but still negative association with conservation value and cliff use by birds in the area. In contrast, the diversity of species on the cliff itself was not affected by any of our measured factors. To assess additional community dynamics, we surveyed vegetation and arthropods at ten site pairs. Climbing negatively affected lichen communities, but did not significantly affect other vegetation metrics or arthropods. We found no correlations between avian diversity and diversity of either vegetation or arthropods. Avian cliff use rate was positively correlated with arthropod biomass. We conclude that while rock climbing is associated with lower community diversity at cliffs, some common cliff-dwelling birds, arthropods and plants appear to be tolerant of climbing activity. An abiotic factor, cliff aspect strongly affected patterns of both avian diversity and cliff use, suggesting that the negative effects of rock climbing may be mitigated by informed management of cliff habitat that considers multiple site features.",https://doi.org/10.1371/journal.pone.0209557,Middle school
